Kommunenavn;Kommune;Kirke;Skattenedslag;Grundskyld (promille)
Albertslund;25,6;0,8;0,73;33,94
Allerød;24,3;0,58;0;22,8
Assens;26,1;0,95;1,23;22,12
Ballerup;25,5;0,72;0,63;28,89
Billund;24,7;0,89;0;20,48
Bornholm;26,2;0,93;1,33;33,41
Brøndby;24,3;0,8;0;20,5
Brønderslev;26,9;1,09;2,03;31,23
Dragør;24,8;0,6;0;25,02
Egedal;25,7;0,76;0,83;23,98
Esbjerg;25,6;0,81;0,73;25,29
Fanø;24,9;1,14;0,03;34
Favrskov;25,7;1;0,83;23,32
Faxe;26,1;1,08;1,23;25
Fredensborg;25,3;0,6;0,43;24,65
Fredericia;25,5;0,88;0,63;26
Frederiksberg;22,8;0,5;0;24,75
Frederikshavn;26,2;1,03;1,33;29,9
Frederikssund;25,4;0,96;0,53;32,5
Furesø;24,8;0,65;0;21,5
Faaborg-Midtfyn;26,1;1,05;1,23;22,85
Gentofte;22,8;0,41;0;16
Gladsaxe;23,8;0,73;0;23
Glostrup;23,6;0,67;0;25
Greve;23,9;0,73;0;16,94
Gribskov;24,7;0,88;0;29,34
Guldborgsund;26,3;1,16;1,43;32,34
Haderslev;26,3;0,95;1,43;24,36
Halsnæs;25,7;0,85;0,83;34
Hedensted;25,4;0,98;0,53;18
Helsingør;25,4;0,64;0,53;28,5
Herlev;23,7;0,77;0;24,3
Herning;24,9;0,99;0,03;20,53
Hillerød;25,6;0,69;0,73;20,65
Hjørring;25,9;1,19;1,03;34
Holbæk;25,1;0,96;0,23;23,65
Holstebro;25,3;1,08;0,43;24,12
Horsens;25,2;0,89;0,33;22,56
Hvidovre;25,5;0,72;0,63;29,7
Høje-Taastrup;24,6;0,85;0;24,6
Hørsholm;23,2;0,62;0;22,1
Ikast-Brande;25,1;1;0,23;20,35
Ishøj;25;0,9;0,13;25
Jammerbugt;25,7;1,2;0,83;32,85
Kalundborg;25;1,01;0,13;34
Kerteminde;26,2;0,99;1,33;30,3
Kolding;25;0,94;0,13;25
København;23,8;0,8;0;34
Køge;24,9;0,87;0,03;21,04
Langeland;27,8;1,14;2,93;24,57
Lejre;25,2;1,05;0,33;28,23
Lemvig;25,2;1,27;0,33;28
Lolland;27;1,23;2,13;33,09
Lyngby-Taarbæk;23,7;0,55;0;21,49
Læsø;26,5;1,3;1,63;34
Mariagerfjord;25,9;1,15;1,03;28,8
Middelfart;25,8;0,95;0,93;21,29
Morsø;25,8;1,2;0,93;24,68
Norddjurs;25,6;1;0,73;34
Nordfyns;26;1,04;1,13;29,98
Nyborg;26,4;1,12;1,53;27,83
Næstved;25;0,98;0,13;25
Odder;25,1;0,98;0,23;30,32
Odense;25;0,68;0,13;21,71
Odsherred;26,6;0,98;1,73;34
Randers;25,6;0,89;0,73;27,93
Rebild;25,5;1,2;0,63;26,09
Ringkøbing-Skjern;25;1,05;0,13;31
Ringsted;26,7;0,93;1,83;24,74
Roskilde;25,2;0,84;0,33;24,31
Rudersdal;22,5;0,56;0;22,93
Rødovre;25,7;0,72;0,83;30,8
Samsø;26;1,25;1,13;30,75
Silkeborg;25,5;0,95;0,63;28,26
Skanderborg;25,7;0,86;0,83;24,66
Skive;25,5;1;0,63;20,68
Slagelse;24,7;0,96;0;25,3
Solrød;24,6;0,82;0;20,95
Sorø;26,4;0,95;1,53;25,74
Stevns;25;1,1;0,13;21,52
Struer;25,3;1,2;0,43;22,9
Svendborg;26,8;1,03;1,93;23,32
Syddjurs;25,9;1;1,03;33,8
Sønderborg;25,7;0,93;0,83;27,1
Thisted;25,5;1,28;0,63;23,75
Tønder;25,3;1,16;0,43;21,24
Tårnby;23,1;0,61;0;24
Vallensbæk;25,1;0,68;0,23;24,38
Varde;25,1;1;0,23;31,56
Vejen;25,2;1,06;0,33;20,36
Vejle;23,4;0,89;0;27,75
Vesthimmerland;27;1,18;2,13;22,82
Viborg;25,7;0,93;0,83;23,7
Vordingborg;25,2;1,02;0,33;32,32
Ærø;26,1;1,07;1,23;30
Aabenraa;25,6;0,95;0,73;18,9
Aalborg;25,4;0,98;0,53;26,95
Aarhus;24,4;0,74;0;24,58